season,team_id,group_id,group_name,min,net_rating,off_rating,def_rating,pace,minutes_bucket,net_rating_bucket,pace_bucket
2023-24,1610612743,-203484-203932-203999-1627750-1629008-,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,958.4,13.6,125.9,112.3,97.39,high,good,average
2023-24,1610612760,-1628983-1629652-1630581-1631096-1631114-,S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,799.3,10.2,119.8,109.5,103.48,high,good,fast
2023-24,1610612745,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,754.0,0.4,112.2,111.7,100.16,high,average,fast
2023-24,1610612758,-203084-1627734-1628368-1628989-1631099-,H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,668.9,6.1,119.9,113.9,103.33,high,good,fast
2023-24,1610612750,-201144-203497-1626157-1630162-1630183-,M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,640.8,7.9,118.7,110.8,97.12,high,good,average
2023-24,1610612738,-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,622.8,11.0,120.3,109.4,101.31,high,good,fast
2023-24,1610612749,-201572-203081-203114-203507-1627736-,B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,598.6,15.1,122.0,106.9,104.32,high,elite,fast
2023-24,1610612746,-201935-202331-202695-1627826-1629611-,J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,592.7,10.0,119.5,109.5,94.64,high,good,slow
2023-24,1610612764,-1626145-1628398-1629655-1629673-1630166-,T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,576.7,-1.1,114.9,116.0,104.96,high,average,fast
2023-24,1610612756,-201142-203078-203994-1626164-1628960-,K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen,502.9,11.1,124.5,113.4,100.8,high,good,fast
2023-24,1610612743,-202704-203484-203932-203999-1629008-,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,444.0,5.8,111.1,105.3,104.85,high,good,fast
2023-24,1610612754,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,443.9,6.4,113.6,107.2,102.35,high,good,fast
2023-24,1610612741,-201942-202696-1627936-1629632-1630245-,D. DeRozan - N. Vucevic - A. Caruso - C. White - A. Dosunmu,433.3,-2.8,105.7,108.5,100.63,high,average,fast
2023-24,1610612740,-202685-203468-1627742-1629627-1630529-,J. Valančiūnas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,423.6,-1.1,115.2,116.2,102.78,high,average,fast
2023-24,1610612759,-1630170-1630200-1630577-1631110-1641705-,D. Vassell - T. Jones - J. Champagnie - J. Sochan - V. Wembanyama,404.1,3.3,113.8,110.5,103.29,high,average,fast
2023-24,1610612747,-2544-203076-1626156-1629060-1630559-,L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,388.8,5.5,116.0,110.5,102.6,medium,good,fast
2023-24,1610612739,-1628378-1628386-1629622-1629636-1630596-,D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,367.8,1.4,112.7,111.3,100.95,medium,average,fast
2023-24,1610612761,-203471-1627751-1627783-1628384-1630567-,D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - S. Barnes,366.5,-0.9,112.5,113.4,100.85,medium,average,fast
2023-24,1610612751,-203915-1627827-1628969-1629651-1629661-,S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,313.3,7.0,113.9,106.9,96.76,medium,good,average
2023-24,1610612738,-201143-201950-1627759-1628369-1628401-,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,310.6,2.7,118.5,115.8,102.01,medium,average,fast
2023-24,1610612753,-203914-1628976-1630532-1630591-1631094-,G. Harris - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,299.8,12.5,114.7,102.1,98.3,medium,good,average
2023-24,1610612749,-201572-203081-203109-203507-1627736-,B. Lopez - D. Lillard - J. Crowder - G. Antetokounmpo - M. Beasley,293.4,15.6,119.9,104.3,103.31,medium,elite,fast
2023-24,1610612737,-203991-1627749-1629027-1630180-1630552-,C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,288.7,-12.4,108.4,120.7,105.92,medium,poor,very_fast
2023-24,1610612753,-1628365-1628976-1630532-1630591-1631094-,M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,280.5,4.6,110.1,105.5,99.77,medium,average,average
2023-24,1610612753,-1629048-1630532-1630591-1631094-1641710-,G. Bitadze - F. Wagner - J. Suggs - P. Banchero - A. Black,273.5,9.2,113.3,104.1,102.65,medium,good,fast
2023-24,1610612758,-203084-1627734-1628368-1631099-1631165-,H. Barnes - D. Sabonis - D. Fox - K. Murray - K. Ellis,261.4,1.2,107.0,105.8,97.42,medium,average,average
2023-24,1610612762,-1627739-1628374-1628381-1629012-1631323-,K. Dunn - L. Markkanen - J. Collins - C. Sexton - S. Fontecchio,256.1,4.3,125.9,121.6,103.45,medium,average,fast
2023-24,1610612747,-2544-203076-1626156-1627752-1630559-,L. James - A. Davis - D. Russell - T. Prince - A. Reaves,243.2,-2.4,114.5,116.9,105.12,medium,average,very_fast
2023-24,1610612739,-1628378-1628386-1629622-1629731-1630171-,D. Mitchell - J. Allen - M. Strus - D. Wade - I. Okoro,232.2,19.6,121.4,101.8,102.44,medium,elite,fast
2023-24,1610612744,-201939-203110-203952-1630228-1641764-,S. Curry - D. Green - A. Wiggins - J. Kuminga - B. Podziemski,231.5,12.3,117.3,105.0,103.24,medium,good,fast
2023-24,1610612752,-203944-1628973-1629011-1629628-1629656-,J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,228.4,6.4,111.2,104.8,100.13,medium,good,fast
2023-24,1610612751,-203471-1627827-1628969-1629651-1630560-,D. Schroder - D. Finney-Smith - M. Bridges - N. Claxton - C. Thomas,228.3,-5.9,110.1,116.0,95.47,medium,poor,average
2023-24,1610612741,-201942-202696-203897-1627936-1629632-,D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - C. White,226.9,-2.9,106.6,109.4,100.39,medium,average,fast
2023-24,1610612751,-203915-1628969-1629651-1629661-1630560-,S. Dinwiddie - M. Bridges - N. Claxton - C. Johnson - C. Thomas,224.1,-17.0,105.6,122.7,102.17,medium,poor,fast
2023-24,1610612756,-201142-201569-203994-1626164-1628960-,K. Durant - E. Gordon - J. Nurkic - D. Booker - G. Allen,219.9,12.3,115.1,102.8,102.8,medium,good,fast
2023-24,1610612755,-201587-202699-203954-1629001-1630178-,N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,218.9,34.0,135.2,101.3,103.73,medium,elite,fast
2023-24,1610612750,-201144-203497-1629675-1630162-1630183-,M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,200.5,0.0,102.1,102.1,101.64,medium,average,fast
2023-24,1610612752,-1628392-1628404-1628973-1628978-1630173-,I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,188.9,6.4,119.5,113.0,93.77,medium,good,slow
2023-24,1610612745,-1627832-1628415-1630224-1631095-1641708-,F. VanVleet - D. Brooks - J. Green - J. Smith Jr. - A. Thompson,182.5,4.8,122.3,117.5,100.46,medium,average,fast
2023-24,1610612748,-202710-1626179-1628389-1629130-1631107-,J. Butler - T. Rozier - B. Adebayo - D. Robinson - N. Jovic,180.8,-6.8,109.1,115.8,99.3,medium,poor,average
2023-24,1610612752,-203944-1628384-1628392-1628973-1628978-,J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,179.5,16.6,126.6,110.0,101.73,medium,elite,fast
2023-24,1610612737,-203991-1627749-1629027-1629631-1630180-,C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,176.9,2.9,118.4,115.5,106.49,medium,average,very_fast
2023-24,1610612742,-202681-1627884-1629023-1629029-1629655-,K. Irving - D. Jones Jr. - P. Washington - L. Doncic - D. Gafford,175.6,15.5,115.2,99.7,104.15,medium,elite,fast
2023-24,1610612745,-1627832-1630224-1630256-1630578-1631095-,F. VanVleet - J. Green - J. Tate - A. Sengun - J. Smith Jr.,174.7,-2.5,110.6,113.2,99.19,medium,average,average
2023-24,1610612752,-1628392-1628404-1628973-1628978-1630540-,I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - M. McBride,171.9,31.1,138.2,107.1,94.51,medium,elite,slow
2023-24,1610612737,-203991-1627749-1629027-1629631-1630552-,C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,171.5,-6.1,113.0,119.0,103.97,medium,poor,fast
2023-24,1610612754,-1626167-1627741-1628971-1630167-1630169-,M. Turner - B. Hield - B. Brown - O. Toppin - T. Haliburton,170.7,19.9,134.0,114.1,106.04,medium,elite,very_fast
2023-24,1610612761,-1627751-1629018-1629628-1630193-1630567-,J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,163.8,10.3,119.4,109.2,103.17,medium,good,fast
2023-24,1610612739,-1627747-1627777-1628386-1629636-1630171-,C. LeVert - G. Niang - J. Allen - D. Garland - I. Okoro,159.9,-7.0,116.9,123.9,95.13,medium,poor,average
2023-24,1610612764,-1626145-1628398-1629655-1629673-1641731-,T. Jones - K. Kuzma - D. Gafford - J. Poole - B. Coulibaly,159.9,-14.8,104.3,119.1,104.91,medium,poor,fast
2023-24,1610612737,-203991-203992-1627749-1629631-1630249-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - V. Krejci,158.0,10.5,117.7,107.2,96.62,medium,good,average
2023-24,1610612744,-201939-202691-203110-203952-1630228-,S. Curry - K. Thompson - D. Green - A. Wiggins - J. Kuminga,157.4,18.1,116.1,98.0,105.06,medium,elite,very_fast
2023-24,1610612750,-203937-1626157-1629638-1629675-1630162-,K. Anderson - K. Towns - N. Alexander-Walker - N. Reid - A. Edwards,152.8,-3.7,110.8,114.5,103.51,medium,average,fast
2023-24,1610612741,-201942-202696-1627936-1629632-1630172-,D. DeRozan - N. Vucevic - A. Caruso - C. White - P. Williams,152.8,1.0,113.3,112.3,99.59,medium,average,average
2023-24,1610612758,-203084-1627734-1628368-1628370-1631099-,H. Barnes - D. Sabonis - D. Fox - M. Monk - K. Murray,151.3,-1.8,115.3,117.0,105.17,medium,average,very_fast
2023-24,1610612747,-2544-203076-1626156-1627752-1629629-,L. James - A. Davis - D. Russell - T. Prince - C. Reddish,150.9,0.3,108.8,108.5,104.96,medium,average,fast
2023-24,1610612740,-203468-1626204-1627742-1629627-1630529-,C. McCollum - L. Nance Jr. - B. Ingram - Z. Williamson - H. Jones,149.9,-4.4,106.5,110.9,99.77,low,average,average
2023-24,1610612737,-203991-203992-1627749-1630180-1630552-,C. Capela - B. Bogdanovic - D. Murray - S. Bey - J. Johnson,149.3,-6.7,107.0,113.7,101.43,low,poor,fast
2023-24,1610612754,-1626167-1628971-1630167-1630169-1631097-,M. Turner - B. Brown - O. Toppin - T. Haliburton - B. Mathurin,147.7,-4.0,118.6,122.6,106.41,low,average,very_fast
2023-24,1610612740,-202685-203468-1629627-1630529-1630530-,J. Valanciunas - C. McCollum - Z. Williamson - H. Jones - T. Murphy III,147.7,1.0,110.1,109.1,103.49,low,average,fast
2023-24,1610612746,-201935-202331-202695-203486-1629611-,J. Harden - P. George - K. Leonard - M. Plumlee - T. Mann,147.7,15.4,133.2,117.8,95.39,low,elite,average
2023-24,1610612762,-203482-203903-1630534-1631117-1641718-,K. Olynyk - J. Clarkson - O. Agbaji - W. Kessler - K. George,145.9,-12.4,110.0,122.4,101.64,low,poor,fast
2023-24,1610612765,-1630191-1630595-1631093-1631105-1641709-,I. Stewart - C. Cunningham - J. Ivey - J. Duren - A. Thompson,144.7,-7.7,110.4,118.1,99.98,low,poor,average
2023-24,1610612759,-1629640-1630170-1630200-1631110-1641705-,K. Johnson - D. Vassell - T. Jones - J. Sochan - V. Wembanyama,141.6,20.8,117.4,96.6,108.96,low,elite,very_fast
2023-24,1610612744,-201939-202691-203110-203952-1626172-,S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,140.0,-9.1,109.0,118.1,101.49,low,poor,fast
2023-24,1610612741,-201942-202696-1629632-1630172-1630245-,D. DeRozan - N. Vucevic - C. White - P. Williams - A. Dosunmu,139.2,17.5,118.2,100.7,99.33,low,elite,average
2023-24,1610612737,-203992-1629027-1630168-1630180-1630552-,B. Bogdanovic - T. Young - O. Okongwu - S. Bey - J. Johnson,136.3,13.7,123.0,109.3,105.65,low,good,very_fast
2023-24,1610612755,-201587-202699-203954-1626162-1630178-,N. Batum - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,136.2,7.9,123.3,115.4,100.12,low,good,fast
2023-24,1610612737,-203991-203992-1627749-1629631-1630552-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - J. Johnson,135.3,-2.6,104.3,107.0,106.58,low,average,very_fast
2023-24,1610612752,-1628384-1628392-1628404-1628973-1628978-,O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,131.4,15.6,118.3,102.7,96.26,low,elite,average
